variable,rlu
nfkb-control,12617
nfkb-control,13638
nfkb-control,13594
nfkb-control,1775
nfkb-control,1892
nfkb-control,1851
nfkb-expression,6670741
nfkb-expression,7207488
nfkb-expression,7789680
nfkb-expression,1431033
nfkb-expression,1522719
nfkb-expression,1727527
ap1-control,33971
ap1-control,37289
ap1-control,35712
ap1-control,197753
ap1-control,317072
ap1-control,258619
ap1-control,349952
ap1-control,353344
ap1-control,387353
ap1-expression,469314
ap1-expression,467745
ap1-expression,458262
ap1-expression,5352780
ap1-expression,5036988
ap1-expression,5805135
ap1-expression,3761649
ap1-expression,5576369
ap1-expression,4953842
cre-control,5378
cre-control,5734
cre-control,8388
cre-expression,254294
cre-expression,261685
cre-expression,259842
